"","otu","Size","kingdom","phylum","class","order","family","genus","species","Parent.isolate","Isolate","Treat","Rep","Media"
"119","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","382","Rh382","F",28,"PDA"
"120","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","384","Rh384","P",35,"PDAm"
"121","Otu04",12,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus_oryzae","427","Rh427","S",35,"MGA"
"122","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","83","Rh83","P",6,"PDAm"
"123","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","96","Rh96","S",6,"PDA"
"124","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","102","Rh102","S",3,"GYRBA"
"125","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","104","Rh104","S",3,"PDAm"
"126","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","175","Rh175","S",27,"GYRBA"
"127","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","223","Rh223","S",31,"PDAm"
"128","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","258","Rh258","S",6,"GYRBA"
"129","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","260","Rh260","S",6,"PVARP"
"130","Otu05",9,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_radicina","394","Rh394","F",34,"PVARP"
"131","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","236","Rh236_2","P",30,"GYRBA"
"132","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","329","Rh329","F",25,"GYRBA"
"133","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","332","Rh332","F",25,"PDAm"
"134","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","333","Rh333","F",25,"PDAm"
"135","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","403","Rh403","F",25,"GYRBA"
"136","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","422","Rh422","P",35,"PDA"
"137","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","424","Rh424","F",37,"PDA"
"138","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","425","Rh425","F",37,"PDA"
"139","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","439","Rh439","F",37,""
"140","Otu06",10,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Zopfiella_lundqvistii","440","Rh440","F",37,""
"141","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","150","Rh150","P",22,"PDAm"
"142","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","257","Rh257","P",1,"PDA"
"143","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","261","Rh261","F",11,"PDA"
"144","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","386","Rh386","S",35,"PDA"
"145","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","388","Rh388","P",33,"GYRBA"
"146","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","389","Rh389","P",33,"PDAm"
"147","Otu07",7,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_sp","Tulasnellaceae_sp","396","Rh396","F",11,"PDA"
"148","Otu08",7,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma_afroharzianum","100","Rh100","S",6,"PVARP"
